X ; Y ; XL93 ; YL93 ; NBSARM ; DIAM ; BIOM ; Date ; Vitesse ; NBSARMM2 ; NBSARCEP ; BIOMMM2 ; BIOMGM2 ; BIOMGCEP 
4.2676739;47.1612572;796034.4230968;6674212.9565989;7.31;9.28;494.84;2015-02-11 09:52:37;6.40;6.65;7.31;449.85;364.38;400.82
4.2676856;47.1612398;796035.3403976;6674211.0383646;1.65;6.13;48.70;2015-02-11 09:52:38;6.55;1.50;1.65;44.27;35.86;39.45
4.2676937;47.1612247;796035.9808979;6674209.3711927;6.02;8.82;367.40;2015-02-11 09:52:39;6.58;5.47;6.02;334.00;270.54;297.59
4.2677031;47.1612091;796036.7207651;6674207.6500714;6.60;8.52;375.86;2015-02-11 09:52:40;6.55;6.00;6.60;341.69;276.77;304.45
4.2677144;47.1611937;796037.6042010;6674205.9534733;2.83;7.74;132.84;2015-02-11 09:52:41;6.37;2.57;2.83;120.76;97.82;107.60
4.2677237;47.1611781;796038.3364940;6674204.2322306;4.95;10.56;433.23;2015-02-11 09:52:42;6.55;4.50;4.95;393.85;319.02;350.92
4.2677320;47.1611645;796038.9894710;6674202.7318940;3.38;11.88;374.26;2015-02-11 09:52:43;6.40;3.07;3.38;340.23;275.59;303.15
4.2677393;47.1611502;796039.5679465;6674201.1525984;2.15;9.00;136.82;2015-02-11 09:52:44;6.69;1.96;2.15;124.38;100.75;110.82
4.2677466;47.1611358;796040.1466006;6674199.5621968;8.29;10.49;716.67;2015-02-11 09:52:45;6.51;7.54;8.29;651.51;527.73;580.50
4.2677562;47.1611208;796040.9005502;6674197.9079560;3.33;12.20;389.59;2015-02-11 09:52:46;6.48;3.03;3.33;354.17;286.88;315.57
4.2677647;47.1611065;796041.5699267;6674196.3301201;3.89;6.94;147.04;2015-02-11 09:52:47;6.48;3.54;3.89;133.67;108.28;119.10
4.2677740;47.1610910;796042.3020437;6674194.6199841;4.35;9.74;324.02;2015-02-11 09:52:48;6.62;3.95;4.35;294.57;238.60;262.46
4.2677842;47.1610749;796043.1034061;6674192.8443061;3.41;10.99;323.58;2015-02-11 09:52:49;6.33;3.10;3.41;294.16;238.27;262.10
4.2677943;47.1610602;796043.8946974;6674191.2239922;5.65;9.62;410.74;2015-02-11 09:52:50;6.37;5.14;5.65;373.40;302.45;332.70
4.2678046;47.1610454;796044.7013175;6674189.5928156;4.89;7.87;237.86;2015-02-11 09:52:51;6.62;4.45;4.89;216.24;175.15;192.67
4.2678129;47.1610314;796045.3550108;6674188.0480553;6.05;10.15;489.51;2015-02-11 09:52:52;6.55;5.50;6.05;445.01;360.46;396.51
4.2678242;47.1610150;796046.2402353;6674186.2403975;3.33;11.85;367.82;2015-02-11 09:52:53;6.48;3.03;3.33;334.38;270.85;297.94
4.2678307;47.1610013;796046.7570439;6674184.7267663;1.11;8.11;57.36;2015-02-11 09:52:54;6.48;1.01;1.11;52.15;42.24;46.46
4.2678409;47.1609863;796047.5564472;6674183.0732562;2.86;6.59;97.59;2015-02-11 09:52:55;6.30;2.60;2.86;88.72;71.87;79.05
4.2678495;47.1609711;796048.2350072;6674181.3955878;4.95;10.00;388.27;2015-02-11 09:52:56;6.55;4.50;4.95;352.97;285.91;314.50
4.2678567;47.1609573;796048.8050203;6674179.8717022;4.50;9.37;310.14;2015-02-11 09:52:57;6.40;4.09;4.50;281.94;228.37;251.21
4.2678643;47.1609422;796049.4076522;6674178.2039237;5.00;11.68;536.02;2015-02-11 09:52:58;6.48;4.55;5.00;487.29;394.70;434.17
4.2678734;47.1609260;796050.1258718;6674176.4158026;1.09;14.60;183.27;2015-02-11 09:52:59;6.58;0.99;1.09;166.61;134.95;148.45
4.2678829;47.1609104;796050.8733219;6674174.6948049;6.71;9.86;511.96;2015-02-11 09:53:00;6.44;6.10;6.71;465.42;376.99;414.69
4.2678923;47.1608943;796051.6140890;6674172.9181550;3.83;10.56;335.32;2015-02-11 09:53:01;6.58;3.48;3.83;304.84;246.92;271.61
4.2679039;47.1608776;796052.5225777;6674171.0775448;7.19;10.73;649.95;2015-02-11 09:53:02;6.51;6.54;7.19;590.86;478.60;526.46
4.2679156;47.1608617;796053.4372151;6674169.3259052;4.68;10.16;379.39;2015-02-11 09:53:03;6.15;4.26;4.68;344.90;279.37;307.31
4.2679268;47.1608455;796054.3145129;6674167.5403393;5.44;11.64;579.15;2015-02-11 09:53:04;6.62;4.94;5.44;526.50;426.47;469.11
4.2679368;47.1608291;796055.1012672;6674165.7311014;2.30;9.59;166.25;2015-02-11 09:53:05;6.26;2.09;2.30;151.14;122.42;134.66
4.2679446;47.1608123;796055.7220843;6674163.8747630;4.84;10.68;433.95;2015-02-11 09:53:06;6.69;4.40;4.84;394.50;319.55;351.50
4.2679539;47.1607964;796056.4549224;6674162.1202044;3.89;8.46;218.40;2015-02-11 09:53:07;6.48;3.54;3.89;198.55;160.82;176.91
4.2679629;47.1607816;796057.1630739;6674160.4874482;7.19;9.76;537.55;2015-02-11 09:53:08;6.51;6.54;7.19;488.68;395.83;435.41
4.2679737;47.1607671;796058.0070417;6674158.8902002;3.38;7.39;144.81;2015-02-11 09:53:09;6.40;3.07;3.38;131.65;106.64;117.30
4.2679827;47.1607529;796058.7141237;6674157.3240808;6.11;8.08;313.07;2015-02-11 09:53:10;6.48;5.56;6.11;284.61;230.53;253.59
4.2679918;47.1607377;796059.4305648;6674155.6470221;4.92;9.03;315.37;2015-02-11 09:53:11;6.58;4.48;4.92;286.70;232.23;255.45
4.2680037;47.1607225;796060.3591081;6674153.9733698;5.03;6.93;189.97;2015-02-11 09:53:12;6.44;4.57;5.03;172.70;139.89;153.88
4.2680141;47.1607069;796061.1747393;6674152.2534683;2.21;11.09;213.71;2015-02-11 09:53:13;6.51;2.01;2.21;194.29;157.37;173.11
4.2680237;47.1606912;796061.9299488;6674150.5214877;4.35;10.27;360.31;2015-02-11 09:53:14;6.62;3.95;4.35;327.55;265.32;291.85
4.2680322;47.1606750;796062.6027248;6674148.7326383;1.64;12.31;195.23;2015-02-11 09:53:15;6.58;1.49;1.64;177.48;143.76;158.14
4.2680415;47.1606597;796063.3344965;6674147.0447174;4.52;8.89;280.82;2015-02-11 09:53:16;6.37;4.11;4.52;255.29;206.79;227.46
4.2680503;47.1606446;796064.0280364;6674145.3784004;3.81;6.91;142.64;2015-02-11 09:53:17;6.62;3.46;3.81;129.67;105.04;115.54
4.2680586;47.1606300;796064.6828095;6674143.7670058;6.33;10.75;573.81;2015-02-11 09:53:18;6.26;5.75;6.33;521.65;422.54;464.79
4.2680684;47.1606151;796065.4517442;6674142.1241178;4.32;8.37;237.84;2015-02-11 09:53:19;6.66;3.93;4.32;216.21;175.13;192.65
